description;region_code;flow_code;id;unit;emission factor;direct emission factor;indirect emission factor
Production of electricity by coal;AT;A_POWC;32552;kg CO2/kWh;0.762699012;0.757;0.005699012
Production of electricity by coal;AU;A_POWC;32553;kg CO2/kWh;1.018944827;0.999;0.019944827
Production of electricity by coal;BE;A_POWC;32554;kg CO2/kWh;0.94384013;0.928;0.01584013
Production of electricity by coal;BG;A_POWC;32555;kg CO2/kWh;1.107036862;1.09;0.017036862
Production of electricity by coal;BR;A_POWC;32556;kg CO2/kWh;1.03472133;1.03;0.00472133
Production of electricity by coal;CA;A_POWC;32557;kg CO2/kWh;0.958489723;0.95;0.008489723
Production of electricity by coal;CN;A_POWC;32558;kg CO2/kWh;0.943551811;0.868;0.075551811
Production of electricity by coal;CZ;A_POWC;32559;kg CO2/kWh;1.077513436;1.03;0.047513436
Production of electricity by coal;DE;A_POWC;32560;kg CO2/kWh;0.910093074;0.893;0.017093074
Production of electricity by coal;EE;A_POWC;32561;kg CO2/kWh;0.773849259;0.745;0.028849259
Production of electricity by coal;ES;A_POWC;32562;kg CO2/kWh;0.92340758;0.915;0.00840758
Production of electricity by coal;FI;A_POWC;32563;kg CO2/kWh;0.871470761;0.868;0.003470761
Production of electricity by coal;FR;A_POWC;32564;kg CO2/kWh;0.931727732;0.925;0.006727732
Production of electricity by coal;GB;A_POWC;32565;kg CO2/kWh;0.905104049;0.894;0.011104049
Production of electricity by coal;GR;A_POWC;32566;kg CO2/kWh;1.004612496;1;0.004612496
Production of electricity by coal;HR;A_POWC;32567;kg CO2/kWh;0.914923887;0.896;0.018923887
Production of electricity by coal;HU;A_POWC;32568;kg CO2/kWh;1.079169907;1.07;0.009169907
Production of electricity by coal;ID;A_POWC;32569;kg CO2/kWh;1.025913765;1.01;0.015913765
Production of electricity by coal;IE;A_POWC;32570;kg CO2/kWh;0.962785846;0.954;0.008785846
Production of electricity by coal;IN;A_POWC;32571;kg CO2/kWh;0.977635691;0.925;0.052635691
Production of electricity by coal;IT;A_POWC;32572;kg CO2/kWh;0.909587214;0.897;0.012587214
Production of electricity by coal;JP;A_POWC;32573;kg CO2/kWh;0.838785342;0.821;0.017785342
Production of electricity by coal;KR;A_POWC;32574;kg CO2/kWh;0.943312481;0.905;0.038312481
Production of electricity by coal;MX;A_POWC;32575;kg CO2/kWh;1.08525548;1.06;0.02525548
Production of electricity by coal;NL;A_POWC;32576;kg CO2/kWh;0.79454327;0.788;0.00654327
Production of electricity by coal;PL;A_POWC;32577;kg CO2/kWh;0.873474088;0.853;0.020474088
Production of electricity by coal;PT;A_POWC;32578;kg CO2/kWh;0.898205281;0.892;0.006205281
Production of electricity by coal;RO;A_POWC;32579;kg CO2/kWh;1.158311386;1.08;0.078311386
Production of electricity by coal;TR;A_POWC;32580;kg CO2/kWh;0.992003896;0.959;0.033003896
Production of electricity by coal;US;A_POWC;32581;kg CO2/kWh;0.947672281;0.942;0.005672281
Production of electricity by coal;WA;A_POWC;32582;kg CO2/kWh;1.027983686;0.984;0.043983686
Production of electricity by coal;WE;A_POWC;32583;kg CO2/kWh;1.233081183;1.06;0.173081183
Production of electricity by coal;WF;A_POWC;32584;kg CO2/kWh;1.193203962;1.17;0.023203962
Production of electricity by coal;WL;A_POWC;32585;kg CO2/kWh;0.970255417;0.963;0.007255417
Production of electricity by coal;WM;A_POWC;32586;kg CO2/kWh;0.921849737;0.893;0.028849737
Production of electricity by coal;ZA;A_POWC;32587;kg CO2/kWh;1.063874739;1.05;0.013874739
